ID,NAME,REGION_ID
1,Ilala Municipal Council,1
2,Kigamboni Municipal Council,1
3,Kinondoni Municipal Council,1
4,Temeke Municipal Council,1
5,Ubungo Municipal Council,1
6,Bagamoyo District Council,2
7,Chalinze District Council,2
8,Kibaha District Council,2
9,Kibaha Town Council,2
10,Kibiti District Council,2
11,Kisarawe District Council,2
12,Mafia District Council,2
13,Mkuranga District Council,2
14,Rufiji District Council,2
15,Gairo District Council,3
16,Ifakara Town Council,3
17,Kilosa District Council,3
18,Malinyi District Council,3
19,Mlimba District Council,3
20,Morogoro District Council,3
21,Morogoro Municipal Council,3
22,Mvomero District Council,3
23,Ulanga District Council,3
24,Bahi District Council,4
25,Chamwino District Council,4
26,Chemba District Council,4
27,Dodoma Municipal Council,4
28,Kondoa District Council,4
29,Kondoa Town Council,4
30,Kongwa District Council,4
31,Mpwapwa District Council,4
32,Ikungi District Council,5
33,Iramba District Council,5
34,Itigi District Council,5
35,Manyoni District Council,5
36,Mkalama District Council,5
37,Singida District Council,5
38,Singida Municipal Council,5
39,Bukombe District Council,6
40,Chato District Council,6
41,Geita District Council,6
42,Geita Town council,6
43,Mbogwe District Council,6
44,Nyang'hwale District Council,6
45,Biharamulo District Council,7
46,Bukoba District Council,7
47,Bukoba Municipal Council,7
48,Karagwe District Council,7
49,Kyerwa District Council,7
50,Missenyi District Council,7
51,Muleba District Council,7
52,Ngara District Council,7
53,Bunda District Council,7
54,Bunda Town Council,8
55,Butiama District Council,8
56,Musoma District Council,8
57,Musoma Municipal Council,8
58,Rorya District Council,8
59,Serengeti District Council,8
60,Tarime District Council,8
61,Tarime Town Council,8
62,Ilemela Municipal Council,9
63,Kwimba District Council,9
64,Magu District Council,9
65,Misungwi District Council,9
66,Nyamagana Municipal Council,9
67,Sengerema District Council,9
68,Buchosa District Council,9
69,Ukerewe District Council,9
70,Arusha City Council,10
71,Arusha District Council,10
72,Karatu District Council,10
73,Longido District Council,10
74,Meru District Council,10
75,Monduli District Council,10
76,Ngorongoro District Council,10
77,Hai District Council,11
78,Moshi District Council,11
79,Moshi Municipal Council,11
80,Mwanga District Council,11
81,Rombo District Council,11
82,Same District Council,11
83,Siha District Council,11
84,Babati District Council,12
85,Babati Town Council,12
86,Hanang District Council,12
87,Kiteto District Council,12
88,Mbulu District Council,12
89,Mbulu Town Council,12
90,Simanjiro District Council,12
91,Bumbuli District Council,13
92,Handeni District Council,13
93,Handeni Town Council,13
94,Kilindi District Council,13
95,Korogwe District Council,13
96,Korogwe Town Council,13
97,Lushoto District Council,13
98,Mkinga District Council,13
99,Muheza District Council,13
100,Pangani District Council,13
101,Tanga City Council,13
102,Iringa District Council,14
103,Iringa Municipal Council,14
104,Kilolo District Council,14
105,Mafinga Town Council,14
106,Mufindi District Council,14
107,Mlele District Council,15
108,Mpanda Municipal Council,15
109,Mpimbwe District Council,15
110,Nsimbo District Council,15
111,Tanganyika District Council,15
112,Busokelo District Council,16
113,Chunya District Council,16
114,Kyela District Council,16
115,Mbarali District Council,16
116,Mbeya City Council,16
117,Mbeya District Council,16
118,Rungwe District Council,16
119,Ludewa District Council,17
120,Makambako Town Council,17
121,Makete District Council,17
122,Njombe District Council,17
123,Njombe Town Council,17
124,Wanging'ombe District Council,17
125,Kalambo District Council,18
126,Nkasi District Council,18
127,Sumbawanga District Council,18
128,Sumbawanga Municipal Council,18
129,Ileje District Council,19
130,Mbozi District Council,19
131,Momba District Council,19
132,Songwe District Council,19
133,Tunduma Town Council,19
134,Masasi District Council,20
135,Masasi Town Council,20
136,Mtwara District Council,20
137,Mtwara Municipal Council,20
138,Nanyamba Town Council,20
139,Nanyumbu District Council,20
140,Newala District Council,20
141,Newala Town Council,20
142,Tandahimba District Council,20
143,Kilwa District Council,21
144,Lindi Municipal Council,21
145,Liwale District Council,21
146,Mtama District Council,21
147,Nachingwea District Council,21
148,Ruangwa District Council,21
149,Madaba District Council,22
150,Mbinga District Council,22
151,Mbinga Town Council,22
152,Namtumbo District Council,22
153,Nyasa District Council,22
154,Songea District Council,22
155,Songea Municipal Council,22
156,Tunduru District Council,22
157,Buhigwe District Council,23
158,Kakonko District Council,23
159,Kasulu District Council,23
160,Kasulu Town Council,23
161,Kibondo District Council,23
162,Kigoma District Council,23
163,Kigoma Municipal Council,23
164,Uvinza District Council,23
165,Bariadi District Council,24
166,Bariadi Town Council,24
167,Busega District Council,24
168,Itilima District Council,24
169,Maswa District Council,24
170,Meatu District Council,24
171,Kahama Town Council,25
172,Kishapu District Council,25
173,Msalala District Council,25
174,Shinyanga District Council,25
175,Shinyanga Municipal Council,25
176,Ushetu District Council,25
177,Igunga District Council,26
178,Kaliua District Council,26
179,Nzega District Council,26
180,Nzega Town Council,26
181,Sikonge District Council,26
182,Tabora Municipal Council,26
183,Urambo District Council,26
184,Uyui District Council,26
