SNO,REGION,DISTRICT,VILLAGE,DATE_OF_OBSERVATION,DISEASE,SPECIE_AFFECTED,CASES,DEATH,NO_AT_RISK,TREATED,DESTROYED,SLAUGHTERED,VACCINATED,LAT,LONG,
1,Tanga,Pangani,Mikunguni,15-Mar-2016,Rabies,Dog,5,5,115,0,0,0,72,-5.53333,38.93333,
2,Morogoro,Morogoro,Kibuko,1-Apr-2016,Rabies,Dog,5,5,1173,0,0,0,0,-7.10000,37.56667,
3,Mbeya,Mbozi,Mbewe,4-Apr-2016,Rabies,Dog,1,1,20,0,0,0,0,-9.20000,33.18333,
4,Arusha,Arusha,Enaboishu,16-Apr-2016,Rabies,Dog,3,0,201,0,3,0,0,-3.35000,36.70000,
5,Rukwa,Mpanda,Mpanda,22-Apr-2016,Rabies,Dog,1,1,67,0,0,0,0,-6.36667,31.03333,
6,Tanga,Handeni,Kwamaligwa,29-Apr-2016,Rabies,Dog,15,11,306,0,4,0,0,-5.41667,37.46667,
7,Tanga,Handeni,Songe,6-May-2016,Rabies,Dog,4,2,69,,2,0,0,-5.58333,37.35000,
8,Tanga,Handeni,Kilindi,15-May-2016,Rabies,Dog,20,16,292,,4,0,41,-5.65000,37.58333,
9,Tanga,Handeni,Kilindi,16-May-2016,Rabies,Dog,5,2,103,,0,0,13,-5.65000,37.58333,
10,Tanga,Handeni,Kilindi,17-May-2016,Rabies,Dog,13,6,223,,7,0,37,-5.65000,37.58333,
11,Kilimanjaro,Same,Same,1-Jun-2016,Rabies,Dog,2,2,50,,0,0,0,-4.09889,37.76306,
12,Tanga,Lushoto,Lushoto,21-Jun-2016,Rabies,Dog,1,1,337,,0,0,0,-4.78333,38.28333,
13,Tanga,Handeni,Jungu,25-Jun-2016,Rabies,Dog,17,10,153,,7,0,0,-5.38333,37.68333,
14,Tanga,Handeni,Songe,9-Jul-2016,Rabies,Dog,2,1,95,,1,0,17,-5.58333,37.35000,
15,Tanga,Handeni,Songe,31-Aug-2016,Rabies,Dog,11,11,207,,0,0,29,-5.58333,37.35000,
16,Tanga,Handeni,Songe,1-Oct-2016,Rabies,Dog,7,5,251,,2,0,13,-5.58333,37.35000,
17,Rukwa,Mpanda,Katavi National Park,29-Dec-2016,Rabies,Dog,2,2,50,,0,0,0,-6.85778,31.36889,
18,Tanga,Lushoto,Nywelo,7-Jan-2017,Rabies,Dog,2,2,57,0,0,0,52,-4.65000,38.55000,
19,Rukwa,Mpanda,Kasanse,28-Feb-2017,Rabies,Dog,1,1,157,0,0,0,0,-6.83333,32.40000,
20,Rukwa,Mpanda,Usevia,30-Mar-2017,Rabies,Dog,4,4,548,0,0,0,0,-7.10000,31.23333,
21,Mara,Musoma,Bukiroba,23-May-2017,Rabies,Dog,4,1,185,4,0,0,0,-1.53333,33.86667,
